,NameOfJob,NameOfBusiness,Location,JobType,Salary,Skills,WorkType,Duration,URL
0,Data Analyst,Mapyx Limited,Newcastle Upon Tyne,Data Analyst,0,"['power bi', 'bi', 'analytical', 'data analysis', 'degree']",Hybrid,Full-time,4296984380
1,Data Analyst/Business Intelligence (BI) Specialist,Northumbria Healthcare NHS Foundation Trust,Newcastle Upon Tyne,Data Analyst,0,"['bi', 'power bi', 'data analysis', 'azure', 'sql', 'innovation', 'degree', 'collaboration']",empty,Full-time,4296985393
2,Senior Data Analyst,NHS,Newcastle Upon Tyne,Data Analyst,0,"['power bi', 'bi', 'data analysis', 'analytical', 'agile', 'sql', 'data visualisation', 'degree']",empty,Full-time,4297041096
3,Business Intelligence Developer,NCFE,Newcastle Upon Tyne,Data Analyst,0,"['power bi', 'bi', 'passion', 'analytical', 'excel', 'sql', 'c']",Hybrid,Contract,4300780668
4,Junior Data Consultant,targetjobs UK,Newcastle Upon Tyne,Data Analyst,0,"['passion', 'machine learning', 'data visualisation', 'innovation', 'python', 'collaboration']",empty,Full-time,4293866643
5,Business Intelligence Analyst,Northumbria Police,Newcastle Upon Tyne,Data Analyst,50300.0,"['ai', 'analytical', 'data analysis', 'agile', 'data visualisation', 'collaboration']",Hybrid,Full-time,4297745642
6,Junior Data Consultant,Sparta Global,Newcastle Upon Tyne,Data Analyst,0,"['passion', 'machine learning', 'data visualisation', 'innovation', 'python', 'collaboration']",empty,Full-time,4281956108
7,Category Analyst,Greggs,Newcastle Upon Tyne,Data Analyst,28000,"['power bi', 'ai', 'passion', 'bi', 'analytical', 'r', 'excel', 'python', 'degree']",Hybrid,Full-time,4299536265
8,Data Analyst and Research Assistant,Northumbria Police,Newcastle Upon Tyne,Data Analyst,30200.0,"['ai', 'analytical', 'data analysis', 'agile', 'excel', 'collaboration']",Hybrid,Full-time,4295801089
9,Fraud Statistician - Data Analyst Senior,Worldpay,Gateshead,Data Analyst,0,['data analysis'],Hybrid,Full-time,4298903573
10,BI Developer,Sage,Newcastle Upon Tyne,Data Analyst,0,"['bi', 'ai', 'power bi', 'analytical', 'machine learning', 'azure', 'agile', 'aws', 'gitlab', 'sql', 'github']",Hybrid,Full-time,4275367253
11,Digital Product Analyst – Digital Ordering,Greggs,Newcastle Upon Tyne,Data Analyst,30000,"['passion', 'data analysis', 'azure', 'agile', 'excel']",On-site,Full-time,4296751133
12,Data Test Analyst,Sage,Newcastle Upon Tyne,Data Analyst,0,"['analytical', 'agile', 'sql', 'collaboration']",Hybrid,Full-time,4291876205
13,Business Intelligence Analyst,Careers Plus,Newcastle Upon Tyne,Data Analyst,50500.0,"['analytical', 'data analysis', 'agile', 'data visualisation', 'collaboration']",Hybrid,Full-time,4298782017
14,Graduate Risk Analyst,Oliver Bernard,Newcastle Upon Tyne,Data Analyst,0,"['data analysis', 'excel', 'sql', 'python', 'degree']",On-site,Full-time,4286719493
15,Data Operations Executive,TotalEnergies,Newcastle Upon Tyne,Data Analyst,24000,['excel'],On-site,Contract,4292153873
16,Data Engineer (12 Month FTC),Norton Rose Fulbright,Newcastle Upon Tyne,Data Analyst,0,"['spark', 'ai', 'bi', 'analytical', 'data analysis', 'azure', 'r', 'sql', 'ml', 'python', 'degree', 'collaboration']",Hybrid,Full-time,4302013266
17,Geospatial Developer & Data Engineer,SLR Consulting,Newcastle Upon Tyne,Data Analyst,0,"['python', 'collaboration']",On-site,Full-time,4301160694
18,Sportsbook Senior Trading Analyst,LeoVegas Group,Newcastle Upon Tyne,Data Analyst,0,"['bi', 'tableau', 'data analysis', 'analytical', 'agile', 'excel', 'sql', 'innovation', 'degree', 'collaboration']",Hybrid,Full-time,4299142786
19,Administrator,TotalEnergies,Newcastle Upon Tyne,Data Analyst,24000,['excel'],On-site,Contract,4292171455
20,Online Data Analyst,TELUS Digital,Newcastle Upon Tyne,Data Analyst,0,"['ai', 'passion', 'machine learning']",Remote,Contract,4288693025
21,Digital Business Analyst,Recruit with Purpose,Newcastle Upon Tyne,Data Analyst,42750.0,"['data analysis', 'agile', 'analytical']",Hybrid,Full-time,4298238684
22,Safer Gambling Analyst,LeoVegas Group,Newcastle Upon Tyne,Data Analyst,0,"['analytical', 'agile']",On-site,Full-time,4286663843
